product_name,manufacturer,model
Standard C558A,Standard,C558A
Motorola HT600,Motorola,HT600
Icom IC-W2A,Icom,IC-W2A
Alinco DJ-196T,Alinco,DJ-196T
BaoFeng UV-5x3,Baofeng,UV-5x3
TYT MD390,Tyt,MD390
BridgeCom BCH-220,Bridgecom,BCH-220
Baofeng/Pofung BF-F8+,Baofeng,BF-F8+
BaoFeng/Pofung UV-82L,Baofeng,UV-82L
Alinco DJ-175T,Alinco,DJ-175T
Icom IC-2GAT,Icom,IC-2GAT
Vertex VXA-700 Spirit,Vertex,VXA-700 Spirit
Motorola GP68,Motorola,GP68
Alinco DJ-180,Alinco,DJ-180
Connect Systems CS580,Connect Systems,CS580
Wouxun KG-UV9D,Wouxun,KG-UV9D
BaoFeng/Pofung GT-3 Mark II,Baofeng,GT-3 Mark II
Anytone AT-3318UV-A,Anytone,AT-3318UV-A
Icom IC-80AD D-Star ready 144/440 MHz HT,Icom,IC-80AD D-Star ready 144/440 MHz HT
Icom IC-Z1A,Icom,IC-Z1A
Tempo S1,Tempo,S1
Yaesu FT-411E,Yaesu,FT-411E
Kenwood TH-79AKSS,Kenwood,TH-79AKSS
Icom  IC-T10,Icom,IC-T10
Ailunce HD-1,Ailunce,HD-1
Puxing PX-UV973 dual-band HT with crossband repeater,Puxing,PX-UV973 dual-band HT with crossband repeater
Alinco DJ V57T,Alinco,DJ V57T
PUXING PX-888,Puxing,PX-888
Alinco DJ-V27T,Alinco,DJ-V27T
ZARES ZLVHF01,Zares,ZLVHF01
Motorola XTS 5000,Motorola,XTS 5000
Icom IC-T22A,Icom,IC-T22A
Wouxun,Wouxun,
ICOM IC-V85,Icom,IC-V85
Yaesu FT-208R,Yaesu,FT-208R
Alinco DJ-190,Alinco,DJ-190
Kenwood TH 21AT,Kenwood,TH 21AT
Icom ID-52,Icom,ID-52
BaoFeng GT-3TP Mark III Tri-Power 1/4/8W,Baofeng,GT-3TP Mark III Tri-Power 1/4/8W
Baofeng/Pofung GT-1 UHF 400-470MHz FM Two-way Ham Radio,Baofeng,GT-1 UHF 400-470MHz FM Two-way Ham Radio
EF JOHNSON 5100 aka AN/PRC-127EF,Ef,JOHNSON 5100 aka AN/PRC-127EF
Alinco DJ-F1,Alinco,DJ-F1
Icom IC-E7,Icom,IC-E7
Icom IC-91,Icom,IC-91
Jingtong JT-208,Jingtong,JT-208
Alinco DJ-C7,Alinco,DJ-C7
Standard C228A,Standard,C228A
Icom µ2AT,Icom,µ2AT
Icom IC-3AT,Icom,IC-3AT
ICOM IC-2E,Icom,IC-2E
Motorola GP-2000,Motorola,GP-2000
Kenwood TR-2500,Kenwood,TR-2500
Motorola JT-1000,Motorola,JT-1000
Motorola HT750,Motorola,HT750
Connect Systems CS-750 radio,Connect Systems,CS-750 radio
TYT UV8000E,Tyt,UV8000E
Kenwood TH-F7E,Kenwood,TH-F7E
Motorola XPR 6550,Motorola,XPR 6550
ALBRECHT 2990 - DRAGON SS 301 - MAGNUM 1012,Albrecht,2990 - DRAGON SS 301 - MAGNUM 1012
NKT-R3 70cm 2w Micro HT,Nkt-R3,70cm 2w Micro HT
Kenwood TH-77A,Kenwood,TH-77A
Motorola MTS-2000,Motorola,MTS-2000
Motorola MT-2000 VHF,Motorola,MT-2000
Kenwood TH-75,Kenwood,TH-75
Icom ID-50,Icom,ID-50
TYT TH-350,Tyt,TH-350
TYT TH-UV88,Tyt,TH-UV88
LANCHNONLH HG-UV98 dual bander,Lanchnonlh,HG-UV98 dual bander
Baofeng UV-6,Baofeng,UV-6
WLN KD-C1,Wln,KD-C1
Baofeng GT-5TP,Baofeng,GT-5TP
hytera pd 782,Hytera,pd 782
TYT TH-UVF9,Tyt,TH-UVF9
TYT TH-F8 2meter vhf handheld,Tyt,TH-F8 2meter
ICOM IC-V80,Icom,IC-V80
Motorola XTS 2500,Motorola,XTS 2500
Standard C528,Standard,C528
Icom IC-H16,Icom,IC-H16
Motorola XTS 3000,Motorola,XTS 3000
Yaesu FT-209RH,Yaesu,FT-209RH
Alinco DJ-191,Alinco,DJ-191
Icom IC-2iA,Icom,IC-2iA
Alinco DJ-S40T,Alinco,DJ-S40T
Midland 73-005 VHF HT,Midland,73-005 VHF HT
Pryme (ADI) PR-222,Pryme,(ADI) PR-222
Baofeng 5RM Plus,Baofeng,5RM Plus
Kenwood TH-D75A/E,Kenwood,TH-D75A/E
TIDRADIO TD-H3,Tidradio,TD-H3
Tidradio TD-H8,Tidradio,TD-H8
Alinco DJ VX-50,Alinco,DJ VX-50
Radioddity GA-510 VHF/UHF Handheld,Radioddity,GA-510
tyt md-uv380,Tyt,md-uv380
Hytera AR482G,Hytera,AR482G
Baofeng/Pofung UV-6R,Baofeng,UV-6R
AnyTone TERMN-8R,Anytone,TERMN-8R
Kenwood TH-D72A around the World.,Kenwood,TH-D72A around the World.
Feidaxin FD-880,Feidaxin,FD-880
Motorola Astro Digital Saber,Motorola,Astro Digital Saber
Wouxun KG-UVD2,Wouxun,KG-UVD2
Yaesu VX-250,Yaesu,VX-250
Standard Horizon HX370S,Standard,Horizon HX370S
ICOM IC-U82,Icom,IC-U82
Drake TR-22C,Drake,TR-22C
GE/Ericsson/Ma-com MPA,Ge/Ericsson/Ma-Com,MPA
Motorola GTX Portable,Motorola,GTX Portable
Yaesu FT-203R,Yaesu,FT-203R
Icom P2AT,Icom,P2AT
BK Radio        EPH-5102S,Bk,Radio        EPH-5102S
Kenwood TH-28E,Kenwood,TH-28E
Standard C156A,Standard,C156A
MOTOROLA VISAR,Motorola,VISAR
Kenwood TH-25AT,Kenwood,TH-25AT
Vertex VX180,Vertex,VX180
Mizuho MX-2,Mizuho,MX-2
Yaesu FT-41R,Yaesu,FT-41R
"Icom IC-2SRA,  (4SRA)",Icom,"IC-2SRA,"
Anytone AT-D168UV,Anytone,AT-D168UV
Radtel RT-890,Radtel,RT-890
Motorola XPR 7550e,Motorola,XPR 7550e
Radioddity GD-73,Radioddity,GD-73
Radioddity RD-5R VHF/UHF DMR,Radioddity,RD-5R
Baofeng BF-A58,Baofeng,BF-A58
Kirisun DP-770 DMR HT,Kirisun,DP-770 DMR HT
Tonfa TF-Q5,Tonfa,TF-Q5
Puxing PX-888K Dual Band HT,Puxing,PX-888K
"Yaesu FT-277R UHF Transceiver, Handheld",Yaesu,"FT-277R UHF Transceiver, Handheld"
Kenwood TK-2180 /3180,Kenwood,TK-2180 /3180
kenwood TH-215A Handy_Talkie,Kenwood,TH-215A Handy_Talkie
Icom IC-E90,Icom,IC-E90
Icom IC-F3S (F4S) VHF and UHF LMR portables,Icom,IC-F3S (F4S)
ICOM IC-DELTA1A,Icom,IC-DELTA1A
Kenwood TH-28A,Kenwood,TH-28A
Cherokee AH50,Cherokee,AH50
Motorola HT1550 XLS,Motorola,HT1550 XLS
Standard C168A,Standard,C168A
KIRISUN PT-218,Kirisun,PT-218
Yaesu VX-300,Yaesu,VX-300
Icom IC-V21AT,Icom,IC-V21AT
Alinco DJ-G1T,Alinco,DJ-G1T
Standard C510A,Standard,C510A
Vertex VX-10 VHF-UHF,Vertex,VX-10 VHF-UHF
Vertex FTH-2070,Vertex,FTH-2070
Vertex VX-800,Vertex,VX-800
Icom IC-3SAT,Icom,IC-3SAT
Titan RPSY-201 10-meter,Titan,RPSY-201 10-meter
Alinco DJ-160T,Alinco,DJ-160T
Icom IC-T22H,Icom,IC-T22H
Vero VGC VR-N76 FM and APRS dual band HT,Vero,VGC VR-N76 FM and APRS dual band HT
Kenwood TK-280,Kenwood,TK-280
Retevis RT10,Retevis,RT10
Radioddity GD-88 V/UHF DMR/Analog HT,Radioddity,GD-88 V/UHF DMR/Analog HT
Baofeng UV-S9 Triband,Baofeng,UV-S9 Triband
Wouxun KG-UV9P,Wouxun,KG-UV9P
BTECH DMR-6X2,Btech,DMR-6X2
Yaesu FT-727R,Yaesu,FT-727R
Bridgecom Systems BCH-270 Dual Band,Bridgecom,Systems BCH-270 Dual Band
Radioddity TYT GD-55 MD-398 DMR HT,Radioddity,TYT GD-55 MD-398 DMR HT
Retevis RT3,Retevis,RT3
Baofeng UV-82HX,Baofeng,UV-82HX
Sainsonic RST599,Sainsonic,RST599
BaoFeng/Pofung GT-5,Baofeng,GT-5
KYDERA KYD DM-880 DMR Handheld,Kydera,KYD DM-880 DMR Handheld
Baofeng/Pofung UV-5RB,Baofeng,UV-5RB
Wouxun KG-UV6X,Wouxun,KG-UV6X
Icom IC-04AT,Icom,IC-04AT
Yaesu FT-207R HT,Yaesu,FT-207R HT
Puxing PX-D03 / P-A-968 CELL PHONE RADIO,Puxing,PX-D03 / P-A-968 CELL PHONE RADIO
BAOJIE BJ-UV88  VHF/UHF hand held,Baojie,BJ-UV88  VHF/UHF hand held
Kenwood TK-481,Kenwood,TK-481
FDC FD-268B,Fdc,FD-268B
MaxLog M-UV Dual Band Multifunctional Two-way Radio,Maxlog,M-UV Dual Band Multifunctional Two-way Radio
FDC FD-288A,Fdc,FD-288A
VX7R   USB programming/cloning cable,Vx7R,USB programming/cloning cable
ICOM IC-W31A,Icom,IC-W31A
Vertex VXA-300 Pilot III,Vertex,VXA-300 Pilot III
Icom E90,Icom,E90
ICOM IC-03AT,Icom,IC-03AT
Icom IC-T3H,Icom,IC-T3H
Standard HX400,Standard,HX400
ICOM IC-F21 (Commercial),Icom,IC-F21
Santec LS-202A / Belcom LS-202E,Santec,LS-202A / Belcom LS-202E
Yaesu FT-33R,Yaesu,FT-33R
Alinco DJ-596     EJ-43 DIGITAL BOARD,Alinco,DJ-596     EJ-43 DIGITAL BOARD
Icom P3 AT,Icom,P3 AT
Yaesu FTM-150R ASP,Yaesu,FTM-150R ASP
BTECH UV PRO,Btech,UV PRO
ComJoT CJ-26,Comjot,CJ-26
Radtel RT-880,Radtel,RT-880
Radioditty GD-168,Radioditty,GD-168
Alinco DJ-VX50,Alinco,DJ-VX50
HamGeek APX-8000,Hamgeek,APX-8000
Radioddity GC-5,Radioddity,GC-5
TYT MD-430,Tyt,MD-430
Yaesu FT-4VR,Yaesu,FT-4VR
Baofeng UV-9R Plus,Baofeng,UV-9R Plus
Baofeng UV-5RTP,Baofeng,UV-5RTP
ZASTONE/ABBREE 899-G,Zastone/Abbree,899-G
