Brand,Model,APRS,Air Band,Battery (mAh),Cost (Approx),DMR,Display,Freq. Bands (TX),GPS,Harmonic Suppression Status,Intro Year,Known Rebadges / Clones,Power (W),Satellite Tracking,Website,FCC_ID,Grantee_Code
Anytone,AT-288 2 (70cm) meter HT,,,,,,,,,,,,,,,2AJDM-AT-2882METERHT,2AJDM
Anytone,AT-318UV,No,No,1300,$85,No,LCD,"VHF, UHF",No,Good (Part 90),2016,N/A,6W,No,anytone.net,2AJDM-AT-318UV,2AJDM
Anytone,AT-3208UVII,No,No,1350,$75,No,LCD,"VHF, UHF",No,Good (Part 90),2015,N/A,5W,No,anytone.net,2AJDM-AT-3208UVII,2AJDM
Anytone,AT-3318UV-A,,,,,,,,,,,,,,,2AJDM-AT-3318UV-A,2AJDM
Anytone,AT-398UV,No,Yes,2200,$90,No,LCD,"VHF, UHF",No,Good (Part 90),2018,N/A,5W,No,anytone.net,2AJDM-AT-398UV,2AJDM
Anytone,AT-D168UV,Beacon,No,2500,$150,Yes,"1.77"" TFT","VHF, UHF",No,Excellent (Part 90),2023,Alinco DJ-MD5X,5W,No,anytone.net,2AJDM-AT-D168UV,2AJDM
Anytone,AT-D868uv dual-band DMR HT,,,,,,,,,,,,,,,2AJDM-AT-D868UVDUAL-BANDDMRHT,2AJDM
Anytone,AT-D878UV,,,,,,,,,,,,,,,2AJDM-AT-D878UV,2AJDM
Anytone,AT-D878UVII Plus,Yes (A/D),No,3100,$250,Yes,"1.77"" TFT","VHF, UHF",Yes,Excellent (Part 90),2021,Alinco DJ-MD5,7W,No,anytone.net,2AJDM-AT-D878UVIIPLUS,2AJDM
Anytone,AT-D890UV,Yes (A/D),Yes,3100,~$299,Yes,"1.77"" TFT","VHF, UHF",Yes,Excellent,2025,BridgeCom Maverick,7W,Yes (Native),anytone.net,2AJDM-AT-D890UV,2AJDM
Anytone,NSTIG-8R,,,,,,,,,,,,,,,2AJDM-NSTIG-8R,2AJDM
Anytone,OBLTR-8R,,,,,,,,,,,,,,,2AJDM-OBLTR-8R,2AJDM
Anytone,TERMN-8R,,,,,,,,,,,,,,,2AJDM-TERMN-8R,2AJDM
Anytone,UVA1,Optional,Yes,2000,$95,No,Color Screen,"VHF, UHF",Optional,Excellent,2025,N/A,5W,No,anytone.net,2AJDM-UVA1,2AJDM
Azden,800,,,,,,,,,,,,,,,FRH-800,FRH
Azden,AZ-21A,,,,,,,,,,,,,,,FRH-AZ-21A,FRH
Azden,AZ-61,,,,,,,,,,,,,,,FRH-AZ-61,FRH
Bajeton,BJ-7700,No,Yes,2500,$40,No,Color LCD,"VHF, UHF",No,Unknown,2024,Radtel RT-860 / BinTolk BT7700,5W,No,bajeton (AliExpress),,
Bajeton,BJ-7800,No,Yes,2500,$45,No,Color LCD,"VHF, UHF",No,Unknown,2025,Radtel RT-920 (Variant),10W,No,bajeton (AliExpress),,
Bajeton,BJ-8200,No,Yes,2800,$55,No,Color LCD,"VHF, UHF",No,Unknown,2024,Radtel RT-900 / BinTolk BT8200,10W,No,bajeton (AliExpress),,
Bajeton,BJ-8300,No,Yes,2500,$50,No,Color LCD,"VHF, UHF",No,Unknown,2025,Radtel RT-920,10W,No,bajeton (AliExpress),,
Bajeton,BJ-9000,Yes (Analog),Yes,2600,$80,No,Color LCD,Multi-Band,Yes,Unknown,2025,Radtel RT-950 PRO,10W,No,bajeton (AliExpress),,
Bajeton,DM-5000,No,No,3500,$60,Yes,Color Screen,"VHF, UHF",No,Unknown,2025,Radtel RT-4D / IRadio DM-UV4R,5W,No,bajeton (AliExpress),,
Baofeng,5RH PRO,No,Yes,2500,$50,No,"1.77"" TFT","VHF, UHF",No,Mixed,2024,Baofeng UV-5RM Plus,10W,No,baofengradio.com,2AJGM-5RHPRO,2AJGM
Baofeng,AR-152,No,No,12000 (Claimed),$45,No,LCD,"VHF, UHF",No,Unknown,2022.0,baofengradio.com,10W,No,,2AJGM-AR-152,2AJGM
Baofeng,AR-26,Yes (Analog),Yes,2500,$55,No,"1.77"" TFT","VHF, 220, UHF",Yes,Mixed,2024,Baofeng UV-5RH Pro (Variant),10W,No,baofengradio.com,2AJGM-AR-26,2AJGM
Baofeng,BF-1904,No,No,4200 (Adv),$50,No,None,UHF,No,Unknown,2019,Retevis RT29 (Similar),10W,No,baofengradio.com,2AJGM-BF-1904,2AJGM
Baofeng,BF-33C,No,No,1400,$25/3pk,No,LCD,FRS,No,Good,2023,N/A,2W,No,baofengradio.com,2AJGM-BF-33C,2AJGM
Baofeng,BF-528,No,No,1800,$35,No,None,"VHF, UHF",No,Unknown,2020,N/A,10W,No,baofengradio.com,2AJGM-BF-528,2AJGM
Baofeng,BF-888S,No,No,1500,$12,No,None,UHF,No,Notorious,2013,"Retevis H777, Arcshell AR-5",5W,No,baofengradio.com,2AJGM-BF-888S,2AJGM
Baofeng,BF-88ST,No,No,1500,$25/pair,No,None,FRS,No,Good,2021,N/A,2W,No,baofengradio.com,2AJGM-BF-88ST,2AJGM
Baofeng,BF-F8+,No,No,1800,$35,No,LCD,"VHF, UHF",No,Mixed,2013.0,Baofeng UV-5R (Variant),5W,No,baofengradio.com,2AJGM-BF-F8,2AJGM
Baofeng,BF-F8HP,No,No,2000,$65,No,Tri-color,"VHF, UHF",No,Poor,2014,N/A,8W,No,baofengtech.com,2AJGM-BF-F8HP,2AJGM
Baofeng,BF-F8HP PRO,No,Yes,2500,$65,No,Color LCD,"VHF, 220, UHF",No,Mixed,2024,N/A,10W,No,baofengtech.com,2AJGM-BF-F8HPPRO,2AJGM
Baofeng,BF-H6,No,No,2200,$40,No,LCD,"VHF, UHF",No,Mixed,2020,N/A,10W,No,baofengradio.com,2AJGM-BF-H6,2AJGM
Baofeng,BF-T1 Mini,,,,,,,,,,,,,,,2AJGM-BF-T1MINI,2AJGM
Baofeng,DM-1701,No,No,2200,$80,Yes,Color LCD,"VHF, UHF",No,Good,2018.0,Retevis RT-3S,5W,No,baofengradio.com,2AJGM-DM-1701,2AJGM
Baofeng,DM-1801,No,No,2000,$70,Yes,LCD,"VHF, UHF",No,Mixed,2018.0,baofengradio.com,5W,No,,2AJGM-DM-1801,2AJGM
Baofeng,DM-5R,No,No,2000,$50,Yes,LCD,"VHF, UHF",No,Poor (Tier I),2016.0,baofengradio.com,5W,No,,2AJGM-DM-5R,2AJGM
Baofeng,DM-V1,No,No,2000,$40,Yes,None,UHF,No,Good,2019,Retevis RT22 (Similar),2W,No,baofengradio.com,2AJGM-DM-V1,2AJGM
Baofeng,DR-1801UV,No,No,2200,$70,Yes,LCD,"VHF, UHF",No,Good,2020.0,Baofeng DM-1801 (Updated),5W,No,baofengradio.com,2AJGM-DR-1801UV,2AJGM
Baofeng,FRS-A1,No,No,1500,$25,No,LCD,FRS,No,Good (Part 95B),2019,BTECH FRS-A1,2W,No,baofengradio.com,2AJGM-FRS-A1,2AJGM
Baofeng,G11S,No,No,1500,$25,No,None,GMRS,No,N/A,2023.0,baofengradio.com,5W,No,,2AJGM-G11S,2AJGM
Baofeng,GM-15 Pro,No,No,1800,$40,No,LCD,GMRS,No,N/A,2022.0,baofengradio.com,5W,No,,2AJGM-GM-15PRO,2AJGM
Baofeng,GT-22,No,No,1500,$25/pair,No,None,FRS,No,Good,2020,N/A,2W,No,baofengradio.com,2AJGM-GT-22,2AJGM
Baofeng,GT-3,No,No,1800,$40,No,LCD,"VHF, UHF",No,Mixed,2014.0,Baofeng UV-5R (Variant),5W,No,baofengradio.com,2AJGM-GT-3,2AJGM
Baofeng,GT-3 Mark II,,,,,,,,,,,,,,,2AJGM-GT-3MARKII,2AJGM
Baofeng,GT-3TP,No,No,1800,$50,No,LCD,"VHF, UHF",No,Mixed,2015.0,Baofeng UV-5R (High Power),8W,No,baofengradio.com,2AJGM-GT-3TP,2AJGM
Baofeng,GT-5R,No,No,1800,$30,No,LCD,"VHF, UHF",No,Good (Spurious Fix),2021.0,Baofeng UV-5R (Clean TX),5W,No,baofengradio.com,2AJGM-GT-5R,2AJGM
Baofeng,K61 PRO,No,Yes,2600,$35,No,"1.54"" TFT",Multi-Band,No,Unknown,2024,N/A,5W,No,baofengradio.com,2AJGM-K61PRO,2AJGM
Baofeng,M-5R,No,No,1800,$30,No,LCD,"VHF, UHF",No,Mixed,2023.0,Baofeng UV-5R (Rugged),5W,No,baofengradio.com,2AJGM-M-5R,2AJGM
Baofeng,RD-55 Pro,Analog,Yes,2500,$50,No,LCD,"VHF, UHF",Yes,Mixed,2023,Radtel RT-490,10W,No,baofengradio.com,2AJGM-RD-55PRO,2AJGM
Baofeng,UV-10R,No,No,2800,$45,No,Segmented,"VHF, UHF",No,Notorious,2021,N/A,10W,No,baofengradio.com,2AJGM-UV-10R,2AJGM
Baofeng,UV-13 Pro,No,No,1800,$35,No,"1.44"" LCD","VHF, UHF",No,Mixed,2021,N/A,8W,No,baofengradio.com,2AJGM-UV-13PRO,2AJGM
Baofeng,UV-17 Pro GPS,No,Yes,1800,$40,No,"1.77"" TFT","VHF, UHF",Yes,Mixed,2023,Retevis RA89 (Similar chassis),5W,No,baofengradio.com,2AJGM-UV-17PROGPS,2AJGM
Baofeng,UV-21,No,Yes,2800,$30,No,"1.77"" TFT","VHF, 220, UHF",No,Unknown,2024,UV-17 (Variant),6W,No,baofengradio.com,2AJGM-UV-21,2AJGM
Baofeng,UV-21 Pro,No,Yes,2800,$50,No,Color LCD,"VHF, UHF",No,Unknown,2023.0,baofengradio.com,10W,No,,2AJGM-UV-21PRO,2AJGM
Baofeng,UV-21R,No,Yes,2800,$35,No,"1.77"" TFT","VHF, 220, UHF",No,Unknown,2023,UV-17R (Variant),6W,No,baofengradio.com,2AJGM-UV-21R,2AJGM
Baofeng,UV-28 Plus,No,Yes,2200,$35,No,"1.77"" TFT","VHF, 220, UHF",Yes,Mixed,2025,N/A,10W,No,baofengradio.com,2AJGM-UV-28PLUS,2AJGM
Baofeng,UV-3R,No,No,1500,$25,No,LCD,"VHF, UHF",No,Poor,2011.0,baofengradio.com,2W,No,,2AJGM-UV-3R,2AJGM
Baofeng,UV-3R Mark II,,,,,,,,,,,,,,,2AJGM-UV-3RMARKII,2AJGM
Baofeng,UV-3R+,No,No,1500,$30,No,LCD,"VHF, UHF",No,Mixed,2012.0,baofengradio.com,2W,No,,2AJGM-UV-3R,2AJGM
Baofeng,UV-5G (UV-5X),No,No,1800,$40,No,LCD,GMRS,No,N/A,2021.0,Baofeng UV-5R (GMRS Locked),5W,No,baofengradio.com,2AJGM-UV-5G,2AJGM
Baofeng,UV-5R,No,No,1800,$25,No,LCD,"VHF, UHF",No,Mixed,2012.0,baofengradio.com,5W,No,,2AJGM-UV-5R,2AJGM
Baofeng,UV-5R (Standard),No,Some,1800,$25,No,Tri-color,"VHF, UHF",No,Notorious,2012,"Retevis RT-5R, Pofung UV-5R",5W,No,baofengradio.com,2AJGM-UV-5R,2AJGM
Baofeng,UV-5R Mini,No,No,1400,$25,No,Small LCD,"VHF, UHF",No,Unknown,2024,N/A,5W,No,baofengradio.com,2AJGM-UV-5RMINI,2AJGM
Baofeng,UV-5R Plus,No,No,1800,$30,No,LCD,"VHF, UHF",No,Mixed,2013.0,Baofeng UV-5R (Variant),5W,No,baofengradio.com,2AJGM-UV-5RPLUS,2AJGM
Baofeng,UV-5R V2+,No,No,1800,$30,No,LCD,"VHF, UHF",No,Mixed,2014.0,Baofeng UV-5R (Firmware Upd),5W,No,baofengradio.com,2AJGM-UV-5RV2,2AJGM
Baofeng,UV-5R3,,,,,,,,,,,,,,,2AJGM-UV-5R3,2AJGM
Baofeng,UV-5RA,No,No,1800,$25,No,Tri-color,"VHF, UHF",No,Notorious,2013,N/A,5W,No,baofengradio.com,2AJGM-UV-5RA,2AJGM
Baofeng,UV-5RE,No,No,1800,$30,No,LCD,"VHF, UHF",No,Mixed,2013.0,Baofeng UV-5R (Variant),5W,No,baofengradio.com,2AJGM-UV-5RE,2AJGM
Baofeng,UV-5RH,No,Yes,2500,$45,No,"1.77"" TFT","VHF, UHF",No,Mixed,2023,Pofung UV-5RH,10W,No,baofengradio.com,2AJGM-UV-5RH,2AJGM
Baofeng,UV-5RH Pro,Analog,Yes,2500,$40,No,"1.77"" TFT","VHF, 220, UHF",Yes,Mixed,2024,UV-5RM Plus (Rebadge),10W,No,baofengradio.com,2AJGM-UV-5RHPRO,2AJGM
Baofeng,UV-5RM,No,Yes,2500,$35,No,"1.77"" TFT","VHF, 220, UHF",No,Mixed,2023,Baofeng AR-5RM,10W,No,baofengradio.com,2AJGM-UV-5RM,2AJGM
Baofeng,UV-5RM Plus,Analog,Yes,2500,$35,No,"1.77"" TFT","VHF, 220, UHF",Yes,Mixed,2024,UV-5RH Pro (Variant),10W,No,baofengradio.com,2AJGM-UV-5RMPLUS,2AJGM
Baofeng,UV-5RQ,No,No,1800,$25,No,Tri-color,"VHF, UHF",No,Notorious,2013,N/A,5W,No,baofengradio.com,2AJGM-UV-5RQ,2AJGM
