manufacturer,model
Jingtong,JT-308
Kanglong,KL-320
Kanglong,KL-H3
Kenwood,2140
Kenwood,270G
Kenwood,TH 21AT
Kenwood,TH-215A Handy_Talkie
Kenwood,TH-22AT
Kenwood,TH-235
Kenwood,TH-25AT
Kenwood,TH-28A
Kenwood,TH-28E
Kenwood,TH-55
Kenwood,TH-75
Kenwood,TH-77A
Kenwood,TH-78A
Kenwood,TH-79A
Kenwood,TH-79AKSS
Kenwood,TH-7E
Kenwood,TH-D72
Kenwood,TH-D72A around the World.
Kenwood,TH-D74A/E
Kenwood,TH-D75A/E
Kenwood,TH-D7A
Kenwood,TH-D7A/E
Kenwood,TH-F6A
Kenwood,TH-F7E
Kenwood,TH-G71
Kenwood,TH-G71A
Kenwood,TH-K20A
Kenwood,TH-K2AT
Kenwood,TH-K4
Kenwood,TK-2180 /3180
Kenwood,TK-280
Kenwood,TK-290
Kenwood,TK-481
Kenwood,TR-2500
Kirisun,DP-770 DMR HT
Kirisun,PT-218
Kiriusn,TP660
Kyd,TK-6188 Handheld Transceiver
Kydera,KYD DM-880 DMR Handheld
Lanchnonlh,HG-UV98 dual bander
Leixen,UV-25D
Luiton,LT-188H VHF 10watts Handheld Ham Radio
M/A-Com,P7100ip
Maxlog,M-UV Dual Band Multifunctional Two-way Radio
Maxpedition,"4\"" Clip on Holster"
Midland,73-005 VHF HT
Midland,73-007
Mizuho,MX-2
Mizuho,MX-6
Mizuho,MX-6Z
Motorola,Astro Digital Saber
Motorola,CP200 UHF 16 CH.
Motorola,EX500/600 HT
Motorola,GP 328
Motorola,GP-2000
Motorola,GP300
Motorola,GP350
Motorola,GP68
Motorola,GP88
Motorola,GTX Portable
Motorola,HT-1000
Motorola,HT-1250
Motorola,HT1550 XLS
Motorola,HT600
Motorola,HT750
Motorola,JT-1000
Motorola,M1225
Motorola,MT-2000
Motorola,MT1000/P200 Low band handheld radio
Motorola,MT2100
Motorola,MTS-2000
Motorola,MTX838
Motorola,MTX9000
Motorola,PRO9150
Motorola,SL-1600
Motorola,SL3500e HT
Motorola,Saber
Motorola,VISAR
Motorola,XPR 6550
Motorola,XPR 7550e
Motorola,XPR3500e
Motorola,XTS 2500
Motorola,XTS 3000
Motorola,XTS 5000
Nkt-R3,70cm 2w Micro HT
Palstar,KH-6 50MHz H/T
Pryme,(ADI) PR-222
Pryme,(ADI) PR-460
Pryme,(ADI) PR-52
Puxing,PX-2R
Puxing,PX-358
Puxing,PX-888
Puxing,PX-888K
Puxing,PX-D03 / P-A-968 CELL PHONE RADIO
Puxing,PX-UV973 dual-band HT with crossband repeater
Quansheng,(and Anysecu) UV-K5
Quansheng,1680
Quansheng,TG-UV2
Quansheng,UV-R50
Radio Shack,HTX-200
Radio Shack,HTX-202
Radio Shack,HTX-245
Radio Shack,HTX-400
Radio Shack,HTX-404
Radio Shack,HTX-420
Radioddity,GA-510
Radioddity,GC-5
Radioddity,GD-73
Radioddity,GD-77
Radioddity,GD-88 V/UHF DMR/Analog HT
Radioddity,GS-5B
Radioddity,RD-5R
Radioddity,TYT GD-55 MD-398 DMR HT
Radioditty,GD-168
Radtel,RT-6D and 6D Pro
Radtel,RT-880
Retevis,RA-89
Retevis,RB24/RB91 70cm Mesh Radio + Repeater
Retevis,RT-3S DMR/FM dual band radio with programming cable
Retevis,RT10
Retevis,RT15
Retevis,RT20
Retevis,RT23
Retevis,RT3
Retevis,RT87
Rfinder,B1
Sainsonic,RST599
Santec,HT1200
Santec,LS-202A / Belcom LS-202E
Santec,ST7
Standard,C156A
Standard,C168A
Standard,C228A
Standard,C468A
Standard,C508A
Standard,C510A
Standard,C528
Standard,C558A
Standard,HX400
Standard,Horizon HX370S
Standard,c188a
Talkpod,A36PLUS MAX
Tdxone,TD-Q8A
Tempo,S1
Ten-Tec,Model 2591
Tid,TD-9800
Tidradio,TD-H3
Titan,RPSY-201 10-meter
Tokyo,Hy-Power HT-7
Tonfa,TF-Q5
Tyt,DM UVF10
Tyt,MD-2017
Tyt,MD-430
Tyt,MD-680 UHF DMR 10Watt
Tyt,MD-UV390
Tyt,MD380
Tyt,MD390
Tyt,TH-2R
Tyt,TH-350
Tyt,TH-F8 2meter
Tyt,TH-UV3R
Tyt,TH-UV88
Tyt,TH-UV99
Tyt,TH-UV9R
Tyt,TH-UVF9
Tyt,UV8000E
Tyt,UVF1
Tyt,UVL-15W
Tyt,md-uv380
Vero,VGC VR-N76 FM and APRS dual band HT
Vero,VR N75 UHF programed & controled by Android
Vertex,FTH-2070
Vertex,VX-10 VHF-UHF
Vertex,VX-420 Portable
Vertex,VX-800
Vertex,VX180
Vertex,VX600
