FCC ID,Grantee Code,Grantee Name,Application Purpose,Grant Date
2AJGM-DR1801,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/23/2023
2AJGM-F10,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/24/2020
2AJGM-F12,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/01/2021
2AJGM-F17,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/12/2020
2AJGM-F19,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/21/2020
2AJGM-F22,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/20/2021
2AJGM-F8,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/29/2020
2AJGM-F8HP,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,12/16/2020
2AJGM-FR31S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/10/2023
2AJGM-GM15PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/24/2022
2AJGM-GM21,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/01/2024
2AJGM-GM30,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/23/2022
2AJGM-GM32,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/14/2026
2AJGM-GMT8,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/31/2023
2AJGM-GT18,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,11/13/2023
2AJGM-GT68,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/26/2023
2AJGM-K5M,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/26/2024
2AJGM-K6PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,03/17/2025
2AJGM-M4,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/29/2025
2AJGM-MP1,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/19/2022
2AJGM-MP23,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/12/2022
2AJGM-MP25,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/21/2022
2AJGM-MP31,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,03/09/2022
2AJGM-MP88,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/23/2022
2AJGM-NA26GB,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/17/2024
2AJGM-NA32UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/18/2025
2AJGM-NAK6,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/26/2024
2AJGM-P10UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/07/2021
2AJGM-P11UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/19/2021
2AJGM-P15UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/13/2021
2AJGM-P51UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/19/2020
2AJGM-P52UV,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/03/2021
2AJGM-P53U,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/16/2020
2AJGM-P54U,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/18/2020
2AJGM-RD-55PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/25/2026
2AJGM-SW9,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,03/02/2026
2AJGM-T20,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/20/2020
2AJGM-T20D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/27/2024
2AJGM-T26,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/05/2024
2AJGM-TP5,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/26/2022
2AJGM-TP8,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/17/2021
2AJGM-UV-E70,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/29/2019
2AJGM-UV10R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/14/2021
2AJGM-UV16R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/17/2022
2AJGM-UV17,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/12/2023
2AJGM-UV17H,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/02/2024
2AJGM-UV1802R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/31/2023
2AJGM-UV18H,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/10/2024
2AJGM-UV18R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/13/2023
2AJGM-UV19R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/17/2023
2AJGM-UV20R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/13/2023
2AJGM-UV21M,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/26/2025
2AJGM-UV21R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/17/2023
2AJGM-UV22R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/25/2023
2AJGM-UV25,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/17/2024
2AJGM-UV25PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/04/2025
2AJGM-UV26,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/02/2025
2AJGM-UV28PRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,04/04/2025
2AJGM-UV5G,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Class II Permissive Change,06/17/2024
2AJGM-UV5G,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/22/2022
2AJGM-UV5R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Class II Permissive Change,11/02/2018
2AJGM-UV5R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/18/2018
2AJGM-UV5RPRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/06/2020
2AJGM-UV6R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,07/18/2018
